12/13/2019, 10:11:18, -1, 312/13/2019, 10:12:32, -1, 312/13/2019, 10:12:34, -1, 312/13/2019, 10:12:35, -1, 412/13/2019, 10:15:37, 4, 0
12/13/2019, 10:15:39, 1, 0
12/13/2019, 10:15:41, 4, 0
12/13/2019, 10:23:43, 3, 0
12/13/2019, 10:23:56, 3, 0
12/13/2019, 10:24:12, 3, 0
12/13/2019, 10:24:25, 3, 0
12/13/2019, 10:24:48, 3, 0
12/13/2019, 10:27:19, 3, 0
12/13/2019, 10:27:24, 3, 0
12/13/2019, 10:28:58, 3, 0
12/13/2019, 10:31:32, 3, 0
12/13/2019, 10:36:51, 3, 0
12/13/2019, 10:37:07, 1, 0
12/13/2019, 10:39:12, 3, 0
12/13/2019, 10:42:45, 4, 0
12/13/2019, 10:45:03, 4, 0
12/13/2019, 10:46:22, 4, 0
12/13/2019, 10:47:27, 3, 0
12/13/2019, 10:48:48, 3, 0
12/13/2019, 10:50:50, 3, 0
12/13/2019, 10:51:39, 1, 0
12/13/2019, 10:51:42, 1, 0
12/13/2019, 10:53:03, 1, 0
12/13/2019, 13:36:33, 1, 1
12/13/2019, 13:37:16, 3, 1
12/13/2019, 13:37:25, 1, 1
12/13/2019, 13:38:55, 4, 1
12/13/2019, 13:39:40, 3, 1
12/13/2019, 13:41:29, 3, 1
12/13/2019, 13:41:56, 4, 1
12/13/2019, 13:42:34, 4, 1
12/13/2019, 13:45:13, 4, 1
12/13/2019, 13:47:34, 3, 1
12/13/2019, 13:48:15, 3, 1
12/13/2019, 13:48:32, 3, 1
12/13/2019, 13:50:01, 4, 1
12/13/2019, 13:50:32, 3, 1
12/13/2019, 13:51:01, 4, 1
12/13/2019, 13:55:51, 3, 1
12/13/2019, 13:56:23, 3, 1
12/13/2019, 13:57:57, 4, 1
12/13/2019, 13:58:22, 4, 1
12/13/2019, 14:00:04, 3, 1
12/13/2019, 14:02:33, 3, 1
12/13/2019, 14:05:18, 4, 1
12/13/2019, 14:07:37, 4, 1
12/13/2019, 14:07:46, 1, 1
12/13/2019, 14:09:43, 4, 1
12/13/2019, 14:11:32, 3, 1
12/13/2019, 14:12:25, 4, 1
12/13/2019, 14:13:21, 3, 1
12/13/2019, 14:15:16, 4, 1
12/13/2019, 14:16:31, 4, 1
12/13/2019, 14:16:42, 1, 1
12/13/2019, 14:16:58, 4, 1
12/13/2019, 14:17:39, 3, 1
12/13/2019, 14:17:46, 4, 1
12/13/2019, 14:17:54, 3, 1
12/13/2019, 14:18:21, 3, 1
12/13/2019, 14:42:29, 3, 2
12/13/2019, 14:49:07, 4, 2
12/13/2019, 14:50:15, 4, 2
12/13/2019, 14:51:20, 4, 2
12/13/2019, 14:51:45, 3, 2
12/13/2019, 14:51:56, 3, 2
12/13/2019, 14:52:51, 4, 2
12/13/2019, 14:55:52, 4, 2
12/13/2019, 14:59:52, 4, 2
12/13/2019, 15:05:39, 4, 2
12/13/2019, 15:11:43, 4, 2
12/13/2019, 15:11:52, 4, 2
12/13/2019, 15:13:38, 3, 2
12/13/2019, 15:17:34, 1, 2
12/13/2019, 15:18:03, 4, 2
12/13/2019, 15:18:25, 4, 2
12/13/2019, 15:18:55, 4, 2
12/13/2019, 15:26:24, 4, 2
12/13/2019, 15:27:51, 4, 2
